Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,46.363602,49.090900,46.363602,47.272701,47.210567,31482
2018-11-13,43.636299,43.636299,43.636299,47.272701,47.210567,50124
2018-11-14,47.272701,47.272701,47.272701,47.727200,47.664471,56012
2018-11-15,47.727200,47.727200,47.727200,47.727200,47.664471,0
2018-11-16,46.181801,46.181801,45.904499,47.727200,47.664471,21819
2018-11-19,45.500000,45.500000,45.500000,47.272701,47.210567,6865
2018-11-20,46.363602,47.909000,46.363602,46.818100,46.756565,15134
2018-11-21,46.818100,46.818100,45.454498,46.818100,46.770088,9513
2018-11-22,47.909000,47.909000,45.500000,46.818100,46.770088,2318
2018-11-23,46.363602,46.363602,46.363602,46.363602,46.316051,0
2018-11-26,45.500000,45.500000,45.500000,46.363602,46.316051,1565
2018-11-27,47.272701,47.272701,43.636299,44.090900,44.045681,35831
2018-11-28,42.818100,45.227200,42.772701,44.090900,44.045681,19200
2018-11-29,44.090900,44.090900,44.090900,44.090900,44.045681,0
2018-11-30,44.727200,44.727200,42.727200,44.090900,44.045681,12721
2018-12-03,42.772701,42.772701,42.772701,44.090900,44.045681,1100
2018-12-04,42.954498,42.954498,42.954498,44.090900,44.045681,3809
2018-12-05,42.954498,44.545399,41.454498,42.727200,42.683380,15103
2018-12-06,42.727200,42.727200,42.727200,42.727200,42.683380,0
2018-12-07,42.727200,42.727200,42.727200,42.727200,42.683380,0
2018-12-10,42.727200,42.727200,42.727200,42.727200,42.683380,0
2018-12-11,41.406300,43.636299,41.406300,42.727200,42.683380,19057
2018-12-12,44.090900,44.090900,44.090900,42.727200,42.683380,11000
2018-12-13,42.727200,42.727200,42.727200,42.727200,42.683380,0
2018-12-14,42.727200,42.727200,42.727200,42.727200,42.683380,0
2018-12-17,42.272701,43.181801,42.272701,42.727200,42.683380,57200
2018-12-18,42.727200,42.727200,42.727200,42.727200,42.683380,0
2018-12-19,42.727200,42.727200,42.727200,42.727200,42.683380,0
2018-12-20,42.727200,42.727200,42.727200,42.727200,42.683380,0
2018-12-21,43.636299,43.636299,39.545399,42.272701,42.229343,229466
2018-12-24,42.272701,42.272701,42.272701,42.272701,42.229343,0
2018-12-27,42.272701,42.272701,42.272701,42.272701,42.229343,0
